Date,Ticker,Open,Close,Volume,Sector,Industry
2020-01-02,AAL,28.98,29.09,6451100,Industrials,Airlines
2020-01-03,AAL,28.27,27.65,14008900,Industrials,Airlines
2020-01-06,AAL,27.19,27.32,6105800,Industrials,Airlines
2020-01-07,AAL,27.56,27.22,6105900,Industrials,Airlines
2020-01-08,AAL,27.1,27.84,10496800,Industrials,Airlines
2020-01-09,AAL,28.09,27.95,6898900,Industrials,Airlines
2020-01-10,AAL,27.96,27.32,8106800,Industrials,Airlines
2020-01-13,AAL,27.32,27.39,5874400,Industrials,Airlines
2020-01-14,AAL,27.91,27.53,8888900,Industrials,Airlines
2020-01-15,AAL,27.45,27.58,5689900,Industrials,Airlines
2020-01-16,AAL,27.79,28.23,6442800,Industrials,Airlines
2020-01-17,AAL,28.3,28.4,7379400,Industrials,Airlines
2020-01-21,AAL,27.97,27.2,16409400,Industrials,Airlines
2020-01-22,AAL,27.51,27.32,9852600,Industrials,Airlines
2020-01-23,AAL,27.39,28.8,25611100,Industrials,Airlines
2020-01-24,AAL,28.85,27.64,18067800,Industrials,Airlines
2020-01-27,AAL,26.57,26.11,21573800,Industrials,Airlines
2020-01-28,AAL,26.36,26.9,11939200,Industrials,Airlines
2020-01-29,AAL,26.88,26.8,9088700,Industrials,Airlines
2020-01-30,AAL,26.3,27.72,10685500,Industrials,Airlines
2020-01-31,AAL,27.5,26.84,11027900,Industrials,Airlines
2020-02-03,AAL,26.93,27.16,7631900,Industrials,Airlines
2020-02-04,AAL,27.68,28.43,10832900,Industrials,Airlines
2020-02-05,AAL,28.96,29.1,8959700,Industrials,Airlines
2020-02-06,AAL,29.26,28.3,8335800,Industrials,Airlines
2020-02-07,AAL,28.06,28.38,6231800,Industrials,Airlines
2020-02-10,AAL,28.19,28.79,15134300,Industrials,Airlines
2020-02-11,AAL,29.06,29.84,8977700,Industrials,Airlines
2020-02-12,AAL,30.0,30.47,9315400,Industrials,Airlines
2020-02-13,AAL,30.03,30.09,9119400,Industrials,Airlines
2020-02-14,AAL,30.01,29.2,5524800,Industrials,Airlines
2020-02-18,AAL,29.04,28.63,10485100,Industrials,Airlines
2020-02-19,AAL,28.84,28.33,8400700,Industrials,Airlines
2020-02-20,AAL,28.24,28.51,10093400,Industrials,Airlines
2020-02-21,AAL,28.12,27.82,11253600,Industrials,Airlines
2020-02-24,AAL,25.98,25.45,21713200,Industrials,Airlines
2020-02-25,AAL,25.62,23.12,22296900,Industrials,Airlines
2020-02-26,AAL,23.57,22.31,19610300,Industrials,Airlines
2020-02-27,AAL,20.85,20.6,31897300,Industrials,Airlines
2020-02-28,AAL,19.8,19.05,37166400,Industrials,Airlines
2020-03-02,AAL,19.05,18.86,38738000,Industrials,Airlines
2020-03-03,AAL,19.66,17.85,35402500,Industrials,Airlines
2020-03-04,AAL,18.36,18.53,44362100,Industrials,Airlines
2020-03-05,AAL,17.54,16.04,44656800,Industrials,Airlines
2020-03-06,AAL,15.02,15.97,54505000,Industrials,Airlines
2020-03-09,AAL,14.87,14.75,42558000,Industrials,Airlines
2020-03-10,AAL,15.82,17.0,56972700,Industrials,Airlines
2020-03-11,AAL,16.31,16.26,43705800,Industrials,Airlines
2020-03-12,AAL,14.05,13.45,53968500,Industrials,Airlines
2020-03-13,AAL,15.3,14.31,58376100,Industrials,Airlines
2020-03-16,AAL,12.41,15.92,84916800,Industrials,Airlines
2020-03-17,AAL,15.79,15.58,58055800,Industrials,Airlines
2020-03-18,AAL,14.24,11.65,78458800,Industrials,Airlines
2020-03-19,AAL,11.6,10.29,71584500,Industrials,Airlines
2020-03-20,AAL,10.65,10.38,62681800,Industrials,Airlines
2020-03-23,AAL,10.9,10.25,56427300,Industrials,Airlines
2020-03-24,AAL,11.96,13.92,101553100,Industrials,Airlines
2020-03-25,AAL,16.69,15.39,93795100,Industrials,Airlines
2020-03-26,AAL,16.06,15.66,77530600,Industrials,Airlines
2020-03-27,AAL,14.98,14.04,50783500,Industrials,Airlines
2020-03-30,AAL,13.2,12.25,50516800,Industrials,Airlines
2020-03-31,AAL,12.9,12.19,44851400,Industrials,Airlines
2020-04-01,AAL,11.45,10.69,56854400,Industrials,Airlines
2020-04-02,AAL,10.61,10.06,65534600,Industrials,Airlines
